20131030073824,192.168.142.149,51612,130.207.97.240,5002,3,0.0-10.0,312606720,249940960,323553724,228163
20131030073837,192.168.142.149,51613,130.207.97.240,5002,3,0.0-10.0,319684608,255577880,323553724,228163
20131030073850,192.168.142.149,51614,130.207.97.240,5002,3,0.0-10.0,317849600,254118289,329949460,232689
20131030073903,192.168.142.149,51615,130.207.97.240,5002,3,0.0-10.0,312213504,249623450,329949460,232689
20131030073916,192.168.142.149,51616,130.207.97.240,5002,3,0.0-10.0,314966016,251794039,329949460,232689
20131030073929,192.168.142.149,51617,130.207.97.240,5002,3,0.0-10.0,315359232,252121187,327365700,230893
20131030073942,192.168.142.149,51618,130.207.97.240,5002,3,0.0-10.0,310509568,248276564,327365700,230893
20131030073955,192.168.142.149,51619,130.207.97.240,5002,3,0.0-10.0,317718528,254005680,327365700,230893
20131030074008,192.168.142.149,51620,130.207.97.240,5002,3,0.0-10.0,315883520,252609965,327365700,230893
20131030074021,192.168.142.149,51621,130.207.97.240,5002,3,0.0-10.0,309460992,247357352,327365700,230893
20131030074035,192.168.142.149,51622,130.207.97.240,5002,3,0.0-10.0,311427072,249012221,327365700,230893
20131030074048,192.168.142.149,51623,130.207.97.240,5002,3,0.0-10.0,309723136,247659953,327365700,230893
20131030074101,192.168.142.149,51624,130.207.97.240,5002,3,0.0-10.0,304873472,243743196,327365700,230893
20131030074114,192.168.142.149,51625,130.207.97.240,5002,3,0.0-10.0,309592064,247530900,327365700,230893
20131030074127,192.168.142.149,51626,130.207.97.240,5002,3,0.0-10.0,307494912,245882602,327365700,230893
20131030074140,192.168.142.149,51627,130.207.97.240,5002,3,0.0-10.0,303824896,242927084,327908604,231251
20131030074153,192.168.142.149,51628,130.207.97.240,5002,3,0.0-10.0,311164928,248754530,327908604,231251
20131030074206,192.168.142.149,51629,130.207.97.240,5002,3,0.0-10.0,313131008,250258576,327908604,231251
20131030074219,192.168.142.149,51630,130.207.97.240,5002,3,0.0-10.0,308936704,246988993,320695236,226125
20131030074232,192.168.142.149,51631,130.207.97.240,5002,3,0.0-10.0,309460992,247436464,320695236,226125
