20131120172450,192.168.142.1,44859,192.168.142.158,5005,3,0.0-10.0,0,88211456
20131120172801,192.168.142.1,44863,192.168.142.158,5005,3,0.0-10.1,0,87556096
20131120173113,192.168.142.1,44867,192.168.142.158,5005,3,0.0-10.1,0,82051072
20131120173426,192.168.142.1,44890,192.168.142.158,5005,3,0.0-10.0,0,83623936
20131120173737,192.168.142.1,44894,192.168.142.158,5005,3,0.0-10.0,0,84148224
20131120174048,192.168.142.1,44898,192.168.142.158,5005,3,0.0-10.0,0,81002496
20131120174359,192.168.142.1,44902,192.168.142.158,5005,3,0.0-10.0,0,79036416
20131120174711,192.168.142.1,44912,192.168.142.158,5005,3,0.0-10.0,0,77987840
20131120175022,192.168.142.1,44916,192.168.142.158,5005,3,0.0-10.0,0,79429632
20131120175333,192.168.142.1,44920,192.168.142.158,5005,3,0.0-10.0,0,84017152
20131120175645,192.168.142.1,44930,192.168.142.158,5005,3,0.0-10.1,0,84017152
20131120175956,192.168.142.1,44934,192.168.142.158,5005,3,0.0-10.0,0,83230720
20131120180307,192.168.142.1,44938,192.168.142.158,5005,3,0.0-10.0,0,84410368
20131120180618,192.168.142.1,44961,192.168.142.158,5005,3,0.0-10.0,0,84017152
20131120180930,192.168.142.1,44965,192.168.142.158,5005,3,0.0-10.0,0,82575360
20131120181241,192.168.142.1,44969,192.168.142.158,5005,3,0.0-10.1,0,96206848
20131120181553,192.168.142.1,44979,192.168.142.158,5005,3,0.0-10.1,0,84410368
20131120181904,192.168.142.1,44983,192.168.142.158,5005,3,0.0-10.0,0,80871424
20131120182217,192.168.142.1,44987,192.168.142.158,5005,3,0.0-10.2,0,77725696
20131120182528,192.168.142.1,44997,192.168.142.158,5005,3,0.0-10.1,0,102760448
